1,2,3,4,5,6
3,1.0,0,725,25600000,34
4,2.0,0,400,35000000,34
4,1.0,0,204,19500000,34
5,1.0,0,750,40000000,34
4,1.0,0,210,15000000,34
4,1.0,0,258,11880000,34
6,1.0,3,2,275000000,34
5,,1,1,20000000,34
5,1.0,0,185,56000000,34
3,1.0,0,270,9250000,34
4,1.0,0,50,7890000,34
5,1.0,0,163,21250000,34
3,1.0,0,150,11250000,34
5,1.0,0,500,34750000,34
2,1.0,1,125,13000000,34
4,2.0,0,260,16250000,34
5,1.0,0,70,11700000,34
6,4.0,0,720,72500000,34
5,1.0,5,65,7950000,34
8,2.0,0,520,18500000,34
8,2.0,0,520,18500000,34
5,1.0,0,196,14000000,34
2,1.0,0,120,15000000,34
2,1.0,0,175,6850000,34
5,1.0,0,1,60000000,34
5,2.0,0,700,62000000,34
4,2.0,0,221,26400000,34
4,2.0,7,800,36250000,34
3,4.0,0,234,8500000,34
5,1.0,0,400,22000000,34
3,2.0,1,350,22500000,34
3,2.0,8,225,19000000,34
3,1.0,0,278,7800000,34
4,1.0,0,137,58000000,34
2,1.0,1,250,21250000,34
3,1.0,0,300,8700000,34
2,1.0,0,145,8500000,34
4,1.0,0,100,5750000,34
5,1.0,0,425,95000000,34
4,1.0,0,68,11000000,34
4,4.0,0,310,28000000,34
3,1.0,0,250,15500000,34
7,1.0,0,336,21000000,34
9,2.0,3,1,89000000,34
5,1.0,0,9,225000000,34
3,1.0,0,90,16000000,34
6,2.0,0,397,169000000,34
3,1.0,0,300,19000000,34
7,1.0,0,495,98000000,34
5,1.0,2,320,102000000,34
6,1.0,7,480,65000000,34
5,1.0,7,650,20300000,34
3,1.0,0,346,21500000,34
4,1.0,0,420,34000000,34
5,2.0,0,1,78000000,34
3,1.0,0,525,17900000,34
4,1.0,0,500,41000000,34
5,1.0,0,650,28500000,34
2,1.0,0,187,18000000,34
4,1.0,0,383,15800000,34
5,1.0,0,125,11500000,34
4,1.0,0,115,13500000,34
3,2.0,0,175,5500000,34
4,2.0,0,190,12000000,34
5,,0,1,15500000,34
4,2.0,0,190,6850000,34
4,4.0,0,655,109900000,34
3,1.0,0,157,5750000,34
6,1.0,0,500,95000000,34
3,1.0,0,380,57000000,34
5,1.0,0,194,12000000,34
4,1.0,6,150,3500000,34
3,1.0,0,350,30000000,34
4,2.0,0,190,11250000,34
4,1.0,0,185,9100000,34
5,2.0,1,1,25000000,34
4,1.0,0,324,34950000,34
5,1.0,6,140,1050000,34
4,1.0,0,250,9650000,34
4,4.0,0,180,10950000,34
6,1.0,2,1,130000000,34
4,1.0,0,164,8500000,34
4,1.0,0,196,21000000,34
6,1.0,0,98,9700000,34
5,1.0,0,350,15500000,34
6,1.0,0,680,25000000,34
1,1.0,0,200,19750000,34
5,1.0,0,510,36000000,34
